celebrity_name,season,placement,weeks_participated,results,ballroom_partner,celebrity_industry,celebrity_age_during_season,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,27.0,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,25.0,29.5,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,27.0,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,37.0,28.25,29.5,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,27.0,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,25.0,29.5,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,27.0,38.9999,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,29.0,30.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.5,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.7777,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,23.0,28.7777,29.3331,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,30.0,28.5,27.5,28.5
Melissa Rycroft,8,3,11,Finalist,Tony Dovolani,TV Personality,26,1,23.0,23.5,27.0,29.0,28.25,29.5,38.9999,30.0,28.5,29.3331,28.5
