celebrity_name,season,week,judge_score,fan_votes,method1_rank,method2_pct,placement,weeks_participated,method1_pos,method2_pos,judge_score_pos,n_contestants,judge_is_bottom_two,method1_is_bottom_two,method2_is_bottom_two,both_methods_bottom_two,controversial_bottom
Alyson Hannigan,32,6,31.0,13.45989626,14.0,0.1924538653168682,5.0,11.0,7.0,6.0,2.0,9,1,0,0,0,0
Alyson Hannigan,32,9,32.0,11.26605079,9.0,0.2992988040476174,5.0,11.0,4.5,5.0,2.0,6,1,0,1,0,1
Alyson Hannigan,32,10,25.5,8.790885003,9.0,0.3302700251193909,5.0,11.0,4.5,5.0,1.0,5,1,1,1,1,1
Alyson Hannigan,32,11,26.5,8.418949368,10.0,0.3347235013871937,5.0,11.0,5.0,5.0,1.0,5,1,1,1,1,1
Adrian Peterson,32,3,22.0,11.12767128,21.0,0.1032120588448236,11.0,4.0,10.5,11.0,2.0,12,1,0,1,0,1
Tyson Beckford,32,1,12.0,9.629567962,26.0,0.0692003389241084,12.0,3.0,13.0,13.0,2.0,14,1,1,1,1,1
Tyson Beckford,32,3,20.0,3.692514534,24.0,0.0735669990916124,12.0,3.0,12.0,12.0,1.0,12,1,1,1,1,1
Jason Mraz,32,8,33.0,10.73102088,12.0,0.2486823611465352,2.0,11.0,6.5,5.0,2.0,7,1,1,0,0,1
Jason Mraz,32,10,28.5,8.634986995,9.0,0.3486390929005536,2.0,11.0,4.5,4.0,2.0,5,1,1,1,1,1
Harry Jowsey,32,1,12.0,31.62215147,18.0,0.1086021442306571,6.0,9.0,9.0,10.0,2.0,14,1,0,0,0,0
Harry Jowsey,32,5,18.0,15.70751328,15.0,0.1578054596116058,6.0,9.0,8.5,9.0,1.0,10,1,0,1,0,1
Harry Jowsey,32,6,29.0,14.58123238,14.0,0.1942554327579138,6.0,9.0,7.0,5.0,1.0,9,1,0,0,0,0
Harry Jowsey,32,7,32.0,12.97774175,13.0,0.2292574562555286,6.0,9.0,7.0,6.0,1.0,8,1,1,0,0,1
Harry Jowsey,32,8,28.0,12.32766913,11.0,0.2465133483020395,6.0,9.0,5.0,6.0,1.0,7,1,0,1,0,1
Harry Jowsey,32,9,30.0,5.656334041,12.0,0.213317472677942,6.0,9.0,6.0,6.0,1.0,6,1,1,1,1,1
Mauricio Umansky,32,2,12.0,13.28467177,24.0,0.0824447797404402,9.0,6.0,13.0,12.0,1.0,13,1,1,1,1,1
Eric Roberts,33,1,15.0,12.06411716,23.5,0.0833725389492077,10.0,3.0,12.5,13.0,1.0,13,1,1,1,1,1
Eric Roberts,33,2,15.0,12.62725257,22.0,0.0877967031784804,10.0,3.0,11.0,10.5,1.5,13,1,0,0,0,0
Eric Roberts,33,3,23.0,6.648325396,20.5,0.0949241948262358,10.0,3.0,10.0,10.0,2.0,11,1,1,1,1,1
Reginald VelJohnson,33,1,16.0,12.06411716,22.5,0.0874211219451591,10.0,3.0,11.0,12.0,2.0,13,1,0,1,0,1
Reginald VelJohnson,33,2,15.0,12.62725257,22.0,0.0877967031784804,10.0,3.0,11.0,10.5,1.5,13,1,0,0,0,0
Reginald VelJohnson,33,3,21.0,6.648325396,21.5,0.0886348866501352,10.0,3.0,11.0,11.0,1.0,11,1,1,1,1,1
Dwight Howard ,33,4,29.0,16.70920742,16.0,0.1689730590144513,6.0,7.0,9.0,8.0,1.0,9,1,1,1,1,1
Dwight Howard ,33,5,24.0,16.42841158,14.0,0.2093371670780192,6.0,7.0,7.0,7.0,2.0,8,1,1,1,1,1
Dwight Howard ,33,7,24.0,7.138256131,12.0,0.2177860294511433,6.0,7.0,6.0,6.0,1.0,6,1,1,1,1,1
Danny Amendola,33,7,25.5,15.63770733,10.0,0.307873186415068,5.0,9.0,5.0,5.0,2.0,6,1,1,1,1,1
Danny Amendola,33,8,27.0,13.46189743,9.0,0.3558821797607242,5.0,9.0,4.5,5.0,2.0,5,1,1,1,1,1
Danny Amendola,33,9,28.0,10.70565142,10.0,0.3394431019510388,5.0,9.0,5.0,5.0,1.0,5,1,1,1,1,1
Stephen Nedoroscik,33,5,24.0,23.58399636,11.0,0.2487665029431802,4.0,9.0,6.0,5.0,2.0,8,1,0,0,0,0
Stephen Nedoroscik,33,8,26.5,14.55502874,9.0,0.3655486898290651,4.0,9.0,4.5,4.0,1.0,5,1,1,1,1,1
Ilona Maher,33,6,24.0,20.18522489,11.0,0.2651075644547361,2.0,9.0,7.0,6.0,1.0,7,1,1,1,1,1
Ilona Maher,33,9,28.5,14.34982006,7.0,0.3929189487451245,2.0,9.0,4.0,4.0,2.0,5,1,1,1,1,1
Corey Feldman,34,1,9.0,17.09654809,27.0,0.0801835061859435,13.0,2.0,14.0,14.0,1.5,14,1,1,1,1,1
Corey Feldman,34,2,15.0,7.250151647,27.5,0.066636680791397,13.0,2.0,14.0,14.0,1.0,14,1,1,1,1,1
Danielle Fishel,34,8,37.0,4.256283376,15.0,0.15617522674058,8.0,8.0,8.0,8.0,2.0,8,1,1,1,1,1
Elaine Hendrix,34,7,32.0,11.9236977,15.0,0.1736837321016255,5.0,11.0,8.0,6.0,2.0,9,1,1,0,0,1
Elaine Hendrix,34,9,36.0,10.79905345,12.0,0.2318411594993767,5.0,11.0,6.0,6.0,2.0,7,1,1,1,1,1
Elaine Hendrix,34,11,28.9998,8.742974561,10.0,0.3057251541873104,5.0,11.0,5.0,5.0,1.0,5,1,1,1,1,1
Andy Richter,34,1,9.0,32.51457709,23.5,0.1030045033885186,7.0,9.0,12.0,12.0,1.5,14,1,0,0,0,0
Andy Richter,34,2,16.0,28.02607879,22.0,0.1065689826716139,7.0,9.0,11.0,10.0,2.0,14,1,0,0,0,0
Andy Richter,34,3,18.0,23.25028109,19.5,0.1288459137363736,7.0,9.0,10.0,8.0,1.5,12,1,0,0,0,0
Andy Richter,34,4,18.0,19.05248793,19.0,0.1364253955744826,7.0,9.0,10.0,9.0,1.0,11,1,1,0,0,1
Andy Richter,34,5,24.0,14.91566399,17.0,0.1389188479083075,7.0,9.0,8.0,10.0,1.0,10,1,0,1,0,1
Andy Richter,34,6,27.0,14.22420408,18.0,0.1522150072861792,7.0,9.0,9.0,9.0,1.0,10,1,1,1,1,1
Andy Richter,34,7,29.0,13.30466434,14.0,0.1736000303238194,7.0,9.0,6.5,7.0,1.0,9,1,0,0,0,0
Andy Richter,34,8,34.0,12.63515329,13.0,0.2120850702969176,7.0,9.0,6.5,7.0,1.0,8,1,0,1,0,1
Andy Richter,34,9,29.0,5.630099963,14.0,0.1587645852397526,7.0,9.0,7.0,7.0,1.0,7,1,1,1,1,1
Scott Hoying,34,6,28.0,4.72953569,19.0,0.1065599570625391,10.0,6.0,10.0,10.0,2.0,10,1,1,1,1,1
Dylan Efron,34,10,27.5,12.76816771,10.0,0.300527670660975,4.0,11.0,6.0,4.0,1.0,6,1,1,0,0,1
Dylan Efron,34,11,29.3332,11.73953569,8.0,0.3454572524176384,4.0,11.0,4.0,4.0,2.0,5,1,1,1,1,1
